
natural spline
             x          Natural CS          N_Error(%) 
       7.960000       12.9600000000        0.0000000000
       7.970000       12.9700000000        0.0000000000
       7.980000       12.9800000000        0.0000000000
       7.990000       12.9900000000        0.0000000000
       8.000000       13.0000000000        0.0000000000
       8.010000       13.0100000000        0.0000000000
       8.020000       13.0200000000        0.0000000000
       8.030000       13.0300000000        0.0000000000
       8.040000       13.0400000000        0.0000000000
       8.050000       13.0500000000        0.0000000000
       8.060000       13.0600000000        0.0000000000
       8.070000       13.0700000000        0.0000000000
       8.080000       13.0800000000        0.0000000000
       8.090000       13.0900000000        0.0000000000
       8.100000       13.1000000000        0.0000000000
       8.110000       13.1100000000        0.0000000000
       8.120000       13.1200000000        0.0000000000
       8.130000       13.1300000000        0.0000000000
       8.140000       13.1400000000        0.0000000000
       8.150000       13.1500000000        0.0000000000
       8.160000       13.1600000000        0.0000000000
       8.170000       13.1700000000        0.0000000000
       8.180000       13.1800000000        0.0000000000
       8.190000       13.1900000000        0.0000000000
       8.200000       13.2000000000        0.0000000000
       8.210000       13.2100000000        0.0000000000
       8.220000       13.2200000000        0.0000000000
       8.230000       13.2300000000        0.0000000000
       8.240000       13.2400000000        0.0000000000
       8.250000       13.2500000000        0.0000000000
       8.260000       13.2600000000        0.0000000000
       8.270000       13.2700000000        0.0000000000
       8.280000       13.2800000000        0.0000000000
       8.290000       13.2900000000        0.0000000000
       8.300000       13.3000000000        0.0000000000
       8.310000       13.3100000000        0.0000000000
       8.320000       13.3200000000        0.0000000000
       8.330000       13.3300000000        0.0000000000
       8.340000       13.3400000000        0.0000000000
       8.350000       13.3500000000        0.0000000000
       8.360000       13.3600000000        0.0000000000
       8.370000       13.3700000000        0.0000000000
       8.380000       13.3800000000        0.0000000000
       8.390000       13.3900000000        0.0000000000
       8.400000       13.4000000000        0.0000000000
       8.410000       13.4100000000        0.0000000000
       8.420000       13.4200000000        0.0000000000
       8.430000       13.4300000000        0.0000000000
       8.440000       13.4400000000        0.0000000000
       8.450000       13.4500000000        0.0000000000
       8.460000       13.4600000000        0.0000000000
       8.470000       13.4700000000        0.0000000000
       8.480000       13.4800000000        0.0000000000
       8.490000       13.4900000000        0.0000000000
       8.500000       13.5000000000        0.0000000000
       8.510000       13.5100000000        0.0000000000
       8.520000       13.5200000000        0.0000000000
       8.530000       13.5300000000        0.0000000000
       8.540000       13.5400000000        0.0000000000
       8.550000       13.5500000000        0.0000000000
       8.560000       13.5600000000        0.0000000000
       8.570000       13.5700000000        0.0000000000
       8.580000       13.5800000000        0.0000000000
       8.590000       13.5900000000        0.0000000000
       8.600000       13.6000000000        0.0000000000
       8.610000       13.6100000000        0.0000000000
       8.620000       13.6200000000        0.0000000000
       8.630000       13.6300000000        0.0000000000
       8.640000       13.6400000000        0.0000000000
       8.650000       13.6500000000        0.0000000000
       8.660000       13.6600000000        0.0000000000
       8.670000       13.6700000000        0.0000000000
       8.680000       13.6800000000        0.0000000000
       8.690000       13.6900000000        0.0000000000
       8.700000       13.7000000000        0.0000000000
       8.710000       13.7100000000        0.0000000000
       8.720000       13.7200000000        0.0000000000
       8.730000       13.7300000000        0.0000000000
       8.740000       13.7400000000        0.0000000000
       8.750000       13.7500000000        0.0000000000
       8.760000       13.7600000000        0.0000000000
       8.770000       13.7700000000        0.0000000000
       8.780000       13.7800000000        0.0000000000
       8.790000       13.7900000000        0.0000000000
       8.800000       13.8000000000        0.0000000000
       8.810000       13.8100000000        0.0000000000
       8.820000       13.8200000000        0.0000000000
       8.830000       13.8300000000        0.0000000000
       8.840000       13.8400000000        0.0000000000
       8.850000       13.8500000000        0.0000000000
       8.860000       13.8600000000        0.0000000000
       8.870000       13.8700000000        0.0000000000
       8.880000       13.8800000000        0.0000000000
       8.890000       13.8900000000        0.0000000000
       8.900000       13.9000000000        0.0000000000
       8.910000       13.9100000000        0.0000000000
       8.920000       13.9200000000        0.0000000000
       8.930000       13.9300000000        0.0000000000
       8.940000       13.9400000000        0.0000000000
       8.950000       13.9500000000        0.0000000000
       8.960000       13.9600000000        0.0000000000
       8.970000       13.9700000000        0.0000000000
       8.980000       13.9800000000        0.0000000000
       8.990000       13.9900000000        0.0000000000
       9.000000       14.0000000000        0.0000000000
       9.010000       14.0100000000        0.0000000000
       9.020000       14.0200000000        0.0000000000
       9.030000       14.0300000000        0.0000000000
       9.040000       14.0400000000        0.0000000000
       9.050000       14.0500000000        0.0000000000
       9.060000       14.0600000000        0.0000000000
       9.070000       14.0700000000        0.0000000000
       9.080000       14.0800000000        0.0000000000
       9.090000       14.0900000000        0.0000000000
       9.100000       14.1000000000        0.0000000000
       9.110000       14.1100000000        0.0000000000
       9.120000       14.1200000000        0.0000000000
       9.130000       14.1300000000        0.0000000000
       9.140000       14.1400000000        0.0000000000
       9.150000       14.1500000000        0.0000000000
       9.160000       14.1600000000        0.0000000000
       9.170000       14.1700000000        0.0000000000
       9.180000       14.1800000000        0.0000000000
       9.190000       14.1900000000        0.0000000000
       9.200000       14.2000000000        0.0000000000
       9.210000       14.2100000000        0.0000000000
       9.220000       14.2200000000        0.0000000000
       9.230000       14.2300000000        0.0000000000
       9.240000       14.2400000000        0.0000000000
       9.250000       14.2500000000        0.0000000000
       9.260000       14.2600000000        0.0000000000
       9.270000       14.2700000000        0.0000000000
       9.280000       14.2800000000        0.0000000000
       9.290000       14.2900000000        0.0000000000
       9.300000       14.3000000000        0.0000000000
       9.310000       14.3100000000        0.0000000000
       9.320000       14.3200000000        0.0000000000
       9.330000       14.3300000000        0.0000000000
       9.340000       14.3400000000        0.0000000000
       9.350000       14.3500000000        0.0000000000
       9.360000       14.3600000000        0.0000000000
       9.370000       14.3700000000        0.0000000000
       9.380000       14.3800000000        0.0000000000
       9.390000       14.3900000000        0.0000000000
       9.400000       14.4000000000        0.0000000000
       9.410000       14.4100000000        0.0000000000
       9.420000       14.4200000000        0.0000000000
       9.430000       14.4300000000        0.0000000000
       9.440000       14.4400000000        0.0000000000
       9.450000       14.4500000000        0.0000000000
       9.460000       14.4600000000        0.0000000000
       9.470000       14.4700000000        0.0000000000
       9.480000       14.4800000000        0.0000000000
       9.490000       14.4900000000        0.0000000000
       9.500000       14.5000000000        0.0000000000
       9.510000       14.5100000000        0.0000000000
       9.520000       14.5200000000        0.0000000000
       9.530000       14.5300000000        0.0000000000
       9.540000       14.5400000000        0.0000000000
       9.550000       14.5500000000        0.0000000000
       9.560000       14.5600000000        0.0000000000
       9.570000       14.5700000000        0.0000000000
       9.580000       14.5800000000        0.0000000000
       9.590000       14.5900000000        0.0000000000
       9.600000       14.6000000000        0.0000000000
       9.610000       14.6100000000        0.0000000000
       9.620000       14.6200000000        0.0000000000
       9.630000       14.6300000000        0.0000000000
       9.640000       14.6400000000        0.0000000000
       9.650000       14.6500000000        0.0000000000
       9.660000       14.6600000000        0.0000000000
       9.670000       14.6700000000        0.0000000000
       9.680000       14.6800000000        0.0000000000
       9.690000       14.6900000000        0.0000000000
       9.700000       14.7000000000        0.0000000000
       9.710000       14.7100000000        0.0000000000
       9.720000       14.7200000000        0.0000000000
       9.730000       14.7300000000        0.0000000000
       9.740000       14.7400000000        0.0000000000
       9.750000       14.7500000000        0.0000000000
       9.760000       14.7600000000        0.0000000000
       9.770000       14.7700000000        0.0000000000
       9.780000       14.7800000000        0.0000000000
       9.790000       14.7900000000        0.0000000000
       9.800000       14.8000000000        0.0000000000
       9.810000       14.8100000000        0.0000000000
       9.820000       14.8200000000        0.0000000000
       9.830000       14.8300000000        0.0000000000
       9.840000       14.8400000000        0.0000000000
       9.850000       14.8500000000        0.0000000000
       9.860000       14.8600000000        0.0000000000
       9.870000       14.8700000000        0.0000000000
       9.880000       14.8800000000        0.0000000000
       9.890000       14.8900000000        0.0000000000
       9.900000       14.9000000000        0.0000000000
       9.910000       14.9100000000        0.0000000000
       9.920000       14.9200000000        0.0000000000
       9.930000       14.9300000000        0.0000000000
       9.940000       14.9400000000        0.0000000000
       9.950000       14.9500000000        0.0000000000
       9.960000       14.9600000000        0.0000000000
       9.970000       14.9700000000        0.0000000000
       9.980000       14.9800000000        0.0000000000
       9.990000       14.9900000000        0.0000000000
      10.000000       15.0000000000        0.0000000000

Clamped spline
             x           Clamped S         Cd_Error(%) 
       1.010000        6.0100000000        0.0000000000
       1.020000        6.0200000000        0.0000000000
       1.030000        6.0300000000        0.0000000000
       1.040000        6.0400000000        0.0000000000
       1.050000        6.0500000000        0.0000000000
       1.060000        6.0600000000        0.0000000000
       1.070000        6.0700000000        0.0000000000
       1.080000        6.0800000000        0.0000000000
       1.090000        6.0900000000        0.0000000000
       1.100000        6.1000000000        0.0000000000
       1.110000        6.1100000000        0.0000000000
       1.120000        6.1200000000        0.0000000000
       1.130000        6.1300000000        0.0000000000
       1.140000        6.1400000000        0.0000000000
       1.150000        6.1500000000        0.0000000000
       1.160000        6.1600000000        0.0000000000
       1.170000        6.1700000000        0.0000000000
       1.180000        6.1800000000        0.0000000000
       1.190000        6.1900000000        0.0000000000
       1.200000        6.2000000000        0.0000000000
       1.210000        6.2100000000        0.0000000000
       1.220000        6.2200000000        0.0000000000
       1.230000        6.2300000000        0.0000000000
       1.240000        6.2400000000        0.0000000000
       1.250000        6.2500000000        0.0000000000
       1.260000        6.2600000000        0.0000000000
       1.270000        6.2700000000        0.0000000000
       1.280000        6.2800000000        0.0000000000
       1.290000        6.2900000000        0.0000000000
       1.300000        6.3000000000        0.0000000000
       1.310000        6.3100000000        0.0000000000
       1.320000        6.3200000000        0.0000000000
       1.330000        6.3300000000        0.0000000000
       1.340000        6.3400000000        0.0000000000
       1.350000        6.3500000000        0.0000000000
       1.360000        6.3600000000        0.0000000000
       1.370000        6.3700000000        0.0000000000
       1.380000        6.3800000000        0.0000000000
       1.390000        6.3900000000        0.0000000000
       1.400000        6.4000000000        0.0000000000
       1.410000        6.4100000000        0.0000000000
       1.420000        6.4200000000        0.0000000000
       1.430000        6.4300000000        0.0000000000
       1.440000        6.4400000000        0.0000000000
       1.450000        6.4500000000        0.0000000000
       1.460000        6.4600000000        0.0000000000
       1.470000        6.4700000000        0.0000000000
       1.480000        6.4800000000        0.0000000000
       1.490000        6.4900000000        0.0000000000
       1.500000        6.5000000000        0.0000000000
       1.510000        6.5100000000        0.0000000000
       1.520000        6.5200000000        0.0000000000
       1.530000        6.5300000000        0.0000000000
       1.540000        6.5400000000        0.0000000000
       1.550000        6.5500000000        0.0000000000
       1.560000        6.5600000000        0.0000000000
       1.570000        6.5700000000        0.0000000000
       1.580000        6.5800000000        0.0000000000
       1.590000        6.5900000000        0.0000000000
       1.600000        6.6000000000        0.0000000000
       1.610000        6.6100000000        0.0000000000
       1.620000        6.6200000000        0.0000000000
       1.630000        6.6300000000        0.0000000000
       1.640000        6.6400000000        0.0000000000
       1.650000        6.6500000000        0.0000000000
       1.660000        6.6600000000        0.0000000000
       1.670000        6.6700000000        0.0000000000
       1.680000        6.6800000000        0.0000000000
       1.690000        6.6900000000        0.0000000000
       1.700000        6.7000000000        0.0000000000
       1.710000        6.7100000000        0.0000000000
       1.720000        6.7200000000        0.0000000000
       1.730000        6.7300000000        0.0000000000
       1.740000        6.7400000000        0.0000000000
       1.750000        6.7500000000        0.0000000000
       1.760000        6.7600000000        0.0000000000
       1.770000        6.7700000000        0.0000000000
       1.780000        6.7800000000        0.0000000000
       1.790000        6.7900000000        0.0000000000
       1.800000        6.8000000000        0.0000000000
       1.810000        6.8100000000        0.0000000000
       1.820000        6.8200000000        0.0000000000
       1.830000        6.8300000000        0.0000000000
       1.840000        6.8400000000        0.0000000000
       1.850000        6.8500000000        0.0000000000
       1.860000        6.8600000000        0.0000000000
       1.870000        6.8700000000        0.0000000000
       1.880000        6.8800000000        0.0000000000
       1.890000        6.8900000000        0.0000000000
       1.900000        6.9000000000        0.0000000000
       1.910000        6.9100000000        0.0000000000
       1.920000        6.9200000000        0.0000000000
       1.930000        6.9300000000        0.0000000000
       1.940000        6.9400000000        0.0000000000
       1.950000        6.9500000000        0.0000000000
       1.960000        6.9600000000        0.0000000000
       1.970000        6.9700000000        0.0000000000
       1.980000        6.9800000000        0.0000000000
       1.990000        6.9900000000        0.0000000000
       2.000000        7.0000000000        0.0000000000
       2.010000        7.0100000000        0.0000000000
       2.020000        7.0200000000        0.0000000000
       2.030000        7.0300000000        0.0000000000
       2.040000        7.0400000000        0.0000000000
       2.050000        7.0500000000        0.0000000000
       2.060000        7.0600000000        0.0000000000
       2.070000        7.0700000000        0.0000000000
       2.080000        7.0800000000        0.0000000000
       2.090000        7.0900000000        0.0000000000
       2.100000        7.1000000000        0.0000000000
       2.110000        7.1100000000        0.0000000000
       2.120000        7.1200000000        0.0000000000
       2.130000        7.1300000000        0.0000000000
       2.140000        7.1400000000        0.0000000000
       2.150000        7.1500000000        0.0000000000
       2.160000        7.1600000000        0.0000000000
       2.170000        7.1700000000        0.0000000000
       2.180000        7.1800000000        0.0000000000
       2.190000        7.1900000000        0.0000000000
       2.200000        7.2000000000        0.0000000000
       2.210000        7.2100000000        0.0000000000
       2.220000        7.2200000000        0.0000000000
       2.230000        7.2300000000        0.0000000000
       2.240000        7.2400000000        0.0000000000
       2.250000        7.2500000000        0.0000000000
       2.260000        7.2600000000        0.0000000000
       2.270000        7.2700000000        0.0000000000
       2.280000        7.2800000000        0.0000000000
       2.290000        7.2900000000        0.0000000000
       2.300000        7.3000000000        0.0000000000
       2.310000        7.3100000000        0.0000000000
       2.320000        7.3200000000        0.0000000000
       2.330000        7.3300000000        0.0000000000
       2.340000        7.3400000000        0.0000000000
       2.350000        7.3500000000        0.0000000000
       2.360000        7.3600000000        0.0000000000
       2.370000        7.3700000000        0.0000000000
       2.380000        7.3800000000        0.0000000000
       2.390000        7.3900000000        0.0000000000
       2.400000        7.4000000000        0.0000000000
       2.410000        7.4100000000        0.0000000000
       2.420000        7.4200000000        0.0000000000
       2.430000        7.4300000000        0.0000000000
       2.440000        7.4400000000        0.0000000000
       2.450000        7.4500000000        0.0000000000
       2.460000        7.4600000000        0.0000000000
       2.470000        7.4700000000        0.0000000000
       2.480000        7.4800000000        0.0000000000
       2.490000        7.4900000000        0.0000000000
       2.500000        7.5000000000        0.0000000000
       2.510000        7.5100000000        0.0000000000
       2.520000        7.5200000000        0.0000000000
       2.530000        7.5300000000        0.0000000000
       2.540000        7.5400000000        0.0000000000
       2.550000        7.5500000000        0.0000000000
       2.560000        7.5600000000        0.0000000000
       2.570000        7.5700000000        0.0000000000
       2.580000        7.5800000000        0.0000000000
       2.590000        7.5900000000        0.0000000000
       2.600000        7.6000000000        0.0000000000
       2.610000        7.6100000000        0.0000000000
       2.620000        7.6200000000        0.0000000000
       2.630000        7.6300000000        0.0000000000
       2.640000        7.6400000000        0.0000000000
       2.650000        7.6500000000        0.0000000000
       2.660000        7.6600000000        0.0000000000
       2.670000        7.6700000000        0.0000000000
       2.680000        7.6800000000        0.0000000000
       2.690000        7.6900000000        0.0000000000
       2.700000        7.7000000000        0.0000000000
       2.710000        7.7100000000        0.0000000000
       2.720000        7.7200000000        0.0000000000
       2.730000        7.7300000000        0.0000000000
       2.740000        7.7400000000        0.0000000000
       2.750000        7.7500000000        0.0000000000
       2.760000        7.7600000000        0.0000000000
       2.770000        7.7700000000        0.0000000000
       2.780000        7.7800000000        0.0000000000
       2.790000        7.7900000000        0.0000000000
       2.800000        7.8000000000        0.0000000000
       2.810000        7.8100000000        0.0000000000
       2.820000        7.8200000000        0.0000000000
       2.830000        7.8300000000        0.0000000000
       2.840000        7.8400000000        0.0000000000
       2.850000        7.8500000000        0.0000000000
       2.860000        7.8600000000        0.0000000000
       2.870000        7.8700000000        0.0000000000
       2.880000        7.8800000000        0.0000000000
       2.890000        7.8900000000        0.0000000000
       2.900000        7.9000000000        0.0000000000
       2.910000        7.9100000000        0.0000000000
       2.920000        7.9200000000        0.0000000000
       2.930000        7.9300000000        0.0000000000
       2.940000        7.9400000000        0.0000000000
       2.950000        7.9500000000        0.0000000000
       2.960000        7.9600000000        0.0000000000
       2.970000        7.9700000000        0.0000000000
       2.980000        7.9800000000        0.0000000000
       2.990000        7.9900000000        0.0000000000
       3.000000        8.0000000000        0.0000000000
       3.010000        8.0100000000        0.0000000000
       3.020000        8.0200000000        0.0000000000
       3.030000        8.0300000000        0.0000000000
       3.040000        8.0400000000        0.0000000000
       3.050000        8.0500000000        0.0000000000
       3.060000        8.0600000000        0.0000000000
       3.070000        8.0700000000        0.0000000000
       3.080000        8.0800000000        0.0000000000
       3.090000        8.0900000000        0.0000000000
       3.100000        8.1000000000        0.0000000000
       3.110000        8.1100000000        0.0000000000
       3.120000        8.1200000000        0.0000000000
       3.130000        8.1300000000        0.0000000000
       3.140000        8.1400000000        0.0000000000
       3.150000        8.1500000000        0.0000000000
       3.160000        8.1600000000        0.0000000000
       3.170000        8.1700000000        0.0000000000
       3.180000        8.1800000000        0.0000000000
       3.190000        8.1900000000        0.0000000000
       3.200000        8.2000000000        0.0000000000
       3.210000        8.2100000000        0.0000000000
       3.220000        8.2200000000        0.0000000000
       3.230000        8.2300000000        0.0000000000
       3.240000        8.2400000000        0.0000000000
       3.250000        8.2500000000        0.0000000000
       3.260000        8.2600000000        0.0000000000
       3.270000        8.2700000000        0.0000000000
       3.280000        8.2800000000        0.0000000000
       3.290000        8.2900000000        0.0000000000
       3.300000        8.3000000000        0.0000000000
       3.310000        8.3100000000        0.0000000000
       3.320000        8.3200000000        0.0000000000
       3.330000        8.3300000000        0.0000000000
       3.340000        8.3400000000        0.0000000000
       3.350000        8.3500000000        0.0000000000
       3.360000        8.3600000000        0.0000000000
       3.370000        8.3700000000        0.0000000000
       3.380000        8.3800000000        0.0000000000
       3.390000        8.3900000000        0.0000000000
       3.400000        8.4000000000        0.0000000000
       3.410000        8.4100000000        0.0000000000
       3.420000        8.4200000000        0.0000000000
       3.430000        8.4300000000        0.0000000000
       3.440000        8.4400000000        0.0000000000
       3.450000        8.4500000000        0.0000000000
       3.460000        8.4600000000        0.0000000000
       3.470000        8.4700000000        0.0000000000
       3.480000        8.4800000000        0.0000000000
       3.490000        8.4900000000        0.0000000000
       3.500000        8.5000000000        0.0000000000
       3.510000        8.5100000000        0.0000000000
       3.520000        8.5200000000        0.0000000000
       3.530000        8.5300000000        0.0000000000
       3.540000        8.5400000000        0.0000000000
       3.550000        8.5500000000        0.0000000000
       3.560000        8.5600000000        0.0000000000
       3.570000        8.5700000000        0.0000000000
       3.580000        8.5800000000        0.0000000000
       3.590000        8.5900000000        0.0000000000
       3.600000        8.6000000000        0.0000000000
       3.610000        8.6100000000        0.0000000000
       3.620000        8.6200000000        0.0000000000
       3.630000        8.6300000000        0.0000000000
       3.640000        8.6400000000        0.0000000000
       3.650000        8.6500000000        0.0000000000
       3.660000        8.6600000000        0.0000000000
       3.670000        8.6700000000        0.0000000000
       3.680000        8.6800000000        0.0000000000
       3.690000        8.6900000000        0.0000000000
       3.700000        8.7000000000        0.0000000000
       3.710000        8.7100000000        0.0000000000
       3.720000        8.7200000000        0.0000000000
       3.730000        8.7300000000        0.0000000000
       3.740000        8.7400000000        0.0000000000
       3.750000        8.7500000000        0.0000000000
       3.760000        8.7600000000        0.0000000000
       3.770000        8.7700000000        0.0000000000
       3.780000        8.7800000000        0.0000000000
       3.790000        8.7900000000        0.0000000000
       3.800000        8.8000000000        0.0000000000
       3.810000        8.8100000000        0.0000000000
       3.820000        8.8200000000        0.0000000000
       3.830000        8.8300000000        0.0000000000
       3.840000        8.8400000000        0.0000000000
       3.850000        8.8500000000        0.0000000000
       3.860000        8.8600000000        0.0000000000
       3.870000        8.8700000000        0.0000000000
       3.880000        8.8800000000        0.0000000000
       3.890000        8.8900000000        0.0000000000
       3.900000        8.9000000000        0.0000000000
       3.910000        8.9100000000        0.0000000000
       3.920000        8.9200000000        0.0000000000
       3.930000        8.9300000000        0.0000000000
       3.940000        8.9400000000        0.0000000000
       3.950000        8.9500000000        0.0000000000
       3.960000        8.9600000000        0.0000000000
       3.970000        8.9700000000        0.0000000000
       3.980000        8.9800000000        0.0000000000
       3.990000        8.9900000000        0.0000000000
       4.000000        9.0000000000        0.0000000000
       4.010000        9.0100000000        0.0000000000
       4.020000        9.0200000000        0.0000000000
       4.030000        9.0300000000        0.0000000000
       4.040000        9.0400000000        0.0000000000
       4.050000        9.0500000000        0.0000000000
       4.060000        9.0600000000        0.0000000000
       4.070000        9.0700000000        0.0000000000
       4.080000        9.0800000000        0.0000000000
       4.090000        9.0900000000        0.0000000000
       4.100000        9.1000000000        0.0000000000
       4.110000        9.1100000000        0.0000000000
       4.120000        9.1200000000        0.0000000000
       4.130000        9.1300000000        0.0000000000
       4.140000        9.1400000000        0.0000000000
       4.150000        9.1500000000        0.0000000000
       4.160000        9.1600000000        0.0000000000
       4.170000        9.1700000000        0.0000000000
       4.180000        9.1800000000        0.0000000000
       4.190000        9.1900000000        0.0000000000
       4.200000        9.2000000000        0.0000000000
       4.210000        9.2100000000        0.0000000000
       4.220000        9.2200000000        0.0000000000
       4.230000        9.2300000000        0.0000000000
       4.240000        9.2400000000        0.0000000000
       4.250000        9.2500000000        0.0000000000
       4.260000        9.2600000000        0.0000000000
       4.270000        9.2700000000        0.0000000000
       4.280000        9.2800000000        0.0000000000
       4.290000        9.2900000000        0.0000000000
       4.300000        9.3000000000        0.0000000000
       4.310000        9.3100000000        0.0000000000
       4.320000        9.3200000000        0.0000000000
       4.330000        9.3300000000        0.0000000000
       4.340000        9.3400000000        0.0000000000
       4.350000        9.3500000000        0.0000000000
       4.360000        9.3600000000        0.0000000000
       4.370000        9.3700000000        0.0000000000
       4.380000        9.3800000000        0.0000000000
       4.390000        9.3900000000        0.0000000000
       4.400000        9.4000000000        0.0000000000
       4.410000        9.4100000000        0.0000000000
       4.420000        9.4200000000        0.0000000000
       4.430000        9.4300000000        0.0000000000
       4.440000        9.4400000000        0.0000000000
       4.450000        9.4500000000        0.0000000000
       4.460000        9.4600000000        0.0000000000
       4.470000        9.4700000000        0.0000000000
       4.480000        9.4800000000        0.0000000000
       4.490000        9.4900000000        0.0000000000
       4.500000        9.5000000000        0.0000000000
       4.510000        9.5100000000        0.0000000000
       4.520000        9.5200000000        0.0000000000
       4.530000        9.5300000000        0.0000000000
       4.540000        9.5400000000        0.0000000000
       4.550000        9.5500000000        0.0000000000
       4.560000        9.5600000000        0.0000000000
       4.570000        9.5700000000        0.0000000000
       4.580000        9.5800000000        0.0000000000
       4.590000        9.5900000000        0.0000000000
       4.600000        9.6000000000        0.0000000000
       4.610000        9.6100000000        0.0000000000
       4.620000        9.6200000000        0.0000000000
       4.630000        9.6300000000        0.0000000000
       4.640000        9.6400000000        0.0000000000
       4.650000        9.6500000000        0.0000000000
       4.660000        9.6600000000        0.0000000000
       4.670000        9.6700000000        0.0000000000
       4.680000        9.6800000000        0.0000000000
       4.690000        9.6900000000        0.0000000000
       4.700000        9.7000000000        0.0000000000
       4.710000        9.7100000000        0.0000000000
       4.720000        9.7200000000        0.0000000000
       4.730000        9.7300000000        0.0000000000
       4.740000        9.7400000000        0.0000000000
       4.750000        9.7500000000        0.0000000000
       4.760000        9.7600000000        0.0000000000
       4.770000        9.7700000000        0.0000000000
       4.780000        9.7800000000        0.0000000000
       4.790000        9.7900000000        0.0000000000
       4.800000        9.8000000000        0.0000000000
       4.810000        9.8100000000        0.0000000000
       4.820000        9.8200000000        0.0000000000
       4.830000        9.8300000000        0.0000000000
       4.840000        9.8400000000        0.0000000000
       4.850000        9.8500000000        0.0000000000
       4.860000        9.8600000000        0.0000000000
       4.870000        9.8700000000        0.0000000000
       4.880000        9.8800000000        0.0000000000
       4.890000        9.8900000000        0.0000000000
       4.900000        9.9000000000        0.0000000000
       4.910000        9.9100000000        0.0000000000
       4.920000        9.9200000000        0.0000000000
       4.930000        9.9300000000        0.0000000000
       4.940000        9.9400000000        0.0000000000
       4.950000        9.9500000000        0.0000000000
       4.960000        9.9600000000        0.0000000000
       4.970000        9.9700000000        0.0000000000
       4.980000        9.9800000000        0.0000000000
       4.990000        9.9900000000        0.0000000000
       5.000000       10.0000000000        0.0000000000
       5.010000       10.0100000000        0.0000000000
       5.020000       10.0200000000        0.0000000000
       5.030000       10.0300000000        0.0000000000
       5.040000       10.0400000000        0.0000000000
       5.050000       10.0500000000        0.0000000000
       5.060000       10.0600000000        0.0000000000
       5.070000       10.0700000000        0.0000000000
       5.080000       10.0800000000        0.0000000000
       5.090000       10.0900000000        0.0000000000
       5.100000       10.1000000000        0.0000000000
       5.110000       10.1100000000        0.0000000000
       5.120000       10.1200000000        0.0000000000
       5.130000       10.1300000000        0.0000000000
       5.140000       10.1400000000        0.0000000000
       5.150000       10.1500000000        0.0000000000
       5.160000       10.1600000000        0.0000000000
       5.170000       10.1700000000        0.0000000000
       5.180000       10.1800000000        0.0000000000
       5.190000       10.1900000000        0.0000000000
       5.200000       10.2000000000        0.0000000000
       5.210000       10.2100000000        0.0000000000
       5.220000       10.2200000000        0.0000000000
       5.230000       10.2300000000        0.0000000000
       5.240000       10.2400000000        0.0000000000
       5.250000       10.2500000000        0.0000000000
       5.260000       10.2600000000        0.0000000000
       5.270000       10.2700000000        0.0000000000
       5.280000       10.2800000000        0.0000000000
       5.290000       10.2900000000        0.0000000000
       5.300000       10.3000000000        0.0000000000
       5.310000       10.3100000000        0.0000000000
       5.320000       10.3200000000        0.0000000000
       5.330000       10.3300000000        0.0000000000
       5.340000       10.3400000000        0.0000000000
       5.350000       10.3500000000        0.0000000000
       5.360000       10.3600000000        0.0000000000
       5.370000       10.3700000000        0.0000000000
       5.380000       10.3800000000        0.0000000000
       5.390000       10.3900000000        0.0000000000
       5.400000       10.4000000000        0.0000000000
       5.410000       10.4100000000        0.0000000000
       5.420000       10.4200000000        0.0000000000
       5.430000       10.4300000000        0.0000000000
       5.440000       10.4400000000        0.0000000000
       5.450000       10.4500000000        0.0000000000
       5.460000       10.4600000000        0.0000000000
       5.470000       10.4700000000        0.0000000000
       5.480000       10.4800000000        0.0000000000
       5.490000       10.4900000000        0.0000000000
       5.500000       10.5000000000        0.0000000000
       5.510000       10.5100000000        0.0000000000
       5.520000       10.5200000000        0.0000000000
       5.530000       10.5300000000        0.0000000000
       5.540000       10.5400000000        0.0000000000
       5.550000       10.5500000000        0.0000000000
       5.560000       10.5600000000        0.0000000000
       5.570000       10.5700000000        0.0000000000
       5.580000       10.5800000000        0.0000000000
       5.590000       10.5900000000        0.0000000000
       5.600000       10.6000000000        0.0000000000
       5.610000       10.6100000000        0.0000000000
       5.620000       10.6200000000        0.0000000000
       5.630000       10.6300000000        0.0000000000
       5.640000       10.6400000000        0.0000000000
       5.650000       10.6500000000        0.0000000000
       5.660000       10.6600000000        0.0000000000
       5.670000       10.6700000000        0.0000000000
       5.680000       10.6800000000        0.0000000000
       5.690000       10.6900000000        0.0000000000
       5.700000       10.7000000000        0.0000000000
       5.710000       10.7100000000        0.0000000000
       5.720000       10.7200000000        0.0000000000
       5.730000       10.7300000000        0.0000000000
       5.740000       10.7400000000        0.0000000000
       5.750000       10.7500000000        0.0000000000
       5.760000       10.7600000000        0.0000000000
       5.770000       10.7700000000        0.0000000000
       5.780000       10.7800000000        0.0000000000
       5.790000       10.7900000000        0.0000000000
       5.800000       10.8000000000        0.0000000000
       5.810000       10.8100000000        0.0000000000
       5.820000       10.8200000000        0.0000000000
       5.830000       10.8300000000        0.0000000000
       5.840000       10.8400000000        0.0000000000
       5.850000       10.8500000000        0.0000000000
       5.860000       10.8600000000        0.0000000000
       5.870000       10.8700000000        0.0000000000
       5.880000       10.8800000000        0.0000000000
       5.890000       10.8900000000        0.0000000000
       5.900000       10.9000000000        0.0000000000
       5.910000       10.9100000000        0.0000000000
       5.920000       10.9200000000        0.0000000000
